institute id,name,state,score,rank,tlr (100),rpc (100),go (100),oi (100),perception (100),scaled_tlr_scores,Cluster
IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,87.59,1,86.56,91.98,89.36,62.95,98.75,2.7135140911175117,2
IR-O-U-0220,Indian Institute of Science,Karnataka,83.57,2,82.08,87.45,84.8,57.46,100.0,2.198665937084738,2
IR-O-U-0306,"Indian Institute of Technology, Bombay",Maharashtra,82.35,3,85.55,84.09,83.08,59.54,88.8,2.5974434135342297,2
IR-O-I-1074,"Indian Institute of Technology, Delhi",Delhi,82.22,4,81.98,84.81,79.36,70.07,93.08,2.187173790789364,2
IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,77.83,5,86.9,70.55,83.89,60.26,77.86,2.752587388521785,2
IR-O-U-0573,"Indian Institute of Technology, Kharagpur",West Bengal,75.94,6,77.66,75.66,81.92,55.85,79.82,1.6907130708291889,2
IR-O-U-0560,"Indian Institute of Technology, Roorkee",Uttarakhand,71.48,7,77.22,67.03,84.42,64.36,48.84,1.6401476271295417,2
IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,69.75,8,78.29,63.54,83.26,59.58,45.93,1.7631135924900487,2
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",Delhi,69.57,9,75.57,60.39,72.67,67.37,75.15,1.4505272132558633,2
IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,54.29,35,75.19,33.66,65.71,64.34,20.57,1.4068570573334411,2
